prompt_id,section,layer_id,cues,gender,occupation,income,setting,neighborhood,prompt
P0001,L-track,L0,none,,,,,,"A hyperrealistic portrait of a working person, facing directly toward the camera, do not have any text on the photo."
P0002,L-track,L1,G,man,,,,,"A hyperrealistic portrait of a working man, facing directly toward the camera, do not have any text on the photo."
P0003,L-track,L1,G,woman,,,,,"A hyperrealistic portrait of a working woman, facing directly toward the camera, do not have any text on the photo."
P0004,L-track,L2,G+O,man,surgeon,,,,"A hyperrealistic portrait of a working man as surgeon, facing directly toward the camera, do not have any text on the photo."
P0005,L-track,L2,G+O,man,lawyer,,,,"A hyperrealistic portrait of a working man as lawyer, facing directly toward the camera, do not have any text on the photo."
P0006,L-track,L2,G+O,man,architect,,,,"A hyperrealistic portrait of a working man as architect, facing directly toward the camera, do not have any text on the photo."
P0007,L-track,L2,G+O,man,airline pilot,,,,"A hyperrealistic portrait of a working man as airline pilot, facing directly toward the camera, do not have any text on the photo."
P0008,L-track,L2,G+O,man,university professor,,,,"A hyperrealistic portrait of a working man as university professor, facing directly toward the camera, do not have any text on the photo."
P0009,L-track,L2,G+O,man,diplomat,,,,"A hyperrealistic portrait of a working man as diplomat, facing directly toward the camera, do not have any text on the photo."
P0010,L-track,L2,G+O,man,investment banker,,,,"A hyperrealistic portrait of a working man as investment banker, facing directly toward the camera, do not have any text on the photo."
P0011,L-track,L2,G+O,man,judge,,,,"A hyperrealistic portrait of a working man as judge, facing directly toward the camera, do not have any text on the photo."
P0012,L-track,L2,G+O,man,software engineer,,,,"A hyperrealistic portrait of a working man as software engineer, facing directly toward the camera, do not have any text on the photo."
P0013,L-track,L2,G+O,man,dentist,,,,"A hyperrealistic portrait of a working man as dentist, facing directly toward the camera, do not have any text on the photo."
P0014,L-track,L2,G+O,man,teacher,,,,"A hyperrealistic portrait of a working man as teacher, facing directly toward the camera, do not have any text on the photo."
P0015,L-track,L2,G+O,man,nurse,,,,"A hyperrealistic portrait of a working man as nurse, facing directly toward the camera, do not have any text on the photo."
P0016,L-track,L2,G+O,man,electrician,,,,"A hyperrealistic portrait of a working man as electrician, facing directly toward the camera, do not have any text on the photo."
P0017,L-track,L2,G+O,man,police officer,,,,"A hyperrealistic portrait of a working man as police officer, facing directly toward the camera, do not have any text on the photo."
P0018,L-track,L2,G+O,man,journalist,,,,"A hyperrealistic portrait of a working man as journalist, facing directly toward the camera, do not have any text on the photo."
P0019,L-track,L2,G+O,man,accountant,,,,"A hyperrealistic portrait of a working man as accountant, facing directly toward the camera, do not have any text on the photo."
P0020,L-track,L2,G+O,man,pharmacist,,,,"A hyperrealistic portrait of a working man as pharmacist, facing directly toward the camera, do not have any text on the photo."
P0021,L-track,L2,G+O,man,social worker,,,,"A hyperrealistic portrait of a working man as social worker, facing directly toward the camera, do not have any text on the photo."
P0022,L-track,L2,G+O,man,chef,,,,"A hyperrealistic portrait of a working man as chef, facing directly toward the camera, do not have any text on the photo."
